"RawData - File_210319_171409.spc"
"Wavelength nm."	"T%"
858.00	90.643
859.00	90.666
860.00	90.657
861.00	90.631
862.00	90.605
863.00	90.601
864.00	90.611
865.00	90.608
866.00	90.610
867.00	90.602
868.00	90.588
869.00	90.585
870.00	90.572
871.00	90.564
872.00	90.559
873.00	90.561
874.00	90.596
875.00	90.561
876.00	90.544
877.00	90.546
878.00	90.546
879.00	90.581
880.00	90.541
881.00	90.500
882.00	90.508
883.00	90.497
884.00	90.491
885.00	90.494
886.00	90.480
887.00	90.485
888.00	90.489
889.00	90.508
890.00	90.494
891.00	90.460
892.00	90.474
893.00	90.471
894.00	90.468
895.00	90.459
896.00	90.468
897.00	90.448
898.00	90.446
899.00	90.411
900.00	90.414
901.00	90.439
902.00	90.413
903.00	90.421
904.00	90.425
905.00	90.405
906.00	90.401
907.00	90.414
908.00	90.396
909.00	90.392
910.00	90.381
911.00	90.363
912.00	90.387
913.00	90.396
914.00	90.382
915.00	90.356
916.00	90.347
917.00	90.355
918.00	90.358
919.00	90.384
920.00	90.356
921.00	90.355
922.00	90.334
923.00	90.343
924.00	90.332
925.00	90.311
926.00	90.320
927.00	90.334
928.00	90.338
929.00	90.321
930.00	90.294
931.00	90.329
932.00	90.317
933.00	90.292
934.00	90.318
935.00	90.317
936.00	90.303
937.00	90.309
938.00	90.312
939.00	90.314
940.00	90.288
941.00	90.314
942.00	90.308
943.00	90.315
944.00	90.308
945.00	90.300
946.00	90.280
947.00	90.262
948.00	90.286
949.00	90.283
950.00	90.298
951.00	90.324
952.00	90.300
953.00	90.295
954.00	90.294
955.00	90.318
956.00	90.300
957.00	90.277
958.00	90.266
959.00	90.277
960.00	90.251
961.00	90.240
962.00	90.248
963.00	90.263
964.00	90.276
965.00	90.289
966.00	90.276
967.00	90.259
968.00	90.263
969.00	90.268
970.00	90.263
971.00	90.260
972.00	90.266
973.00	90.263
974.00	90.273
975.00	90.265
976.00	90.251
977.00	90.268
978.00	90.268
979.00	90.257
980.00	90.254
981.00	90.225
982.00	90.225
983.00	90.234
984.00	90.240
985.00	90.230
986.00	90.250
987.00	90.256
988.00	90.242
989.00	90.208
990.00	90.230
991.00	90.233
992.00	90.239
993.00	90.253
994.00	90.242
995.00	90.244
996.00	90.216
997.00	90.202
998.00	90.215
999.00	90.210
1000.00	90.208
1001.00	90.221
1002.00	90.227
1003.00	90.211
1004.00	90.201
1005.00	90.205
1006.00	90.201
1007.00	90.222
1008.00	90.213
1009.00	90.222
1010.00	90.201
1011.00	90.205
1012.00	90.193
1013.00	90.210
1014.00	90.228
1015.00	90.233
1016.00	90.211
1017.00	90.224
1018.00	90.192
1019.00	90.218
1020.00	90.213
1021.00	90.213
1022.00	90.205
1023.00	90.219
1024.00	90.228
1025.00	90.208
1026.00	90.224
1027.00	90.218
1028.00	90.231
1029.00	90.234
1030.00	90.215
1031.00	90.210
1032.00	90.204
1033.00	90.213
1034.00	90.221
1035.00	90.251
1036.00	90.265
1037.00	90.233
1038.00	90.242
1039.00	90.247
1040.00	90.247
1041.00	90.233
1042.00	90.242
1043.00	90.240
1044.00	90.227
1045.00	90.225
1046.00	90.218
1047.00	90.244
1048.00	90.248
1049.00	90.237
1050.00	90.230
1051.00	90.242
1052.00	90.247
1053.00	90.250
1054.00	90.248
1055.00	90.244
1056.00	90.256
1057.00	90.260
1058.00	90.274
1059.00	90.271
1060.00	90.294
1061.00	90.286
1062.00	90.292
1063.00	90.276
1064.00	90.257
1065.00	90.266
1066.00	90.282
1067.00	90.300
1068.00	90.288
1069.00	90.298
1070.00	90.283
1071.00	90.280
1072.00	90.263
1073.00	90.276
1074.00	90.308
1075.00	90.331
1076.00	90.311
1077.00	90.292
1078.00	90.289
1079.00	90.285
1080.00	90.318
1081.00	90.324
1082.00	90.321
1083.00	90.346
1084.00	90.326
1085.00	90.335
1086.00	90.343
1087.00	90.359
1088.00	90.332
1089.00	90.324
1090.00	90.350
1091.00	90.355
1092.00	90.350
1093.00	90.352
1094.00	90.347
1095.00	90.356
1096.00	90.355
1097.00	90.364
1098.00	90.395
1099.00	90.358
1100.00	90.329
