"RawData - Lente direita 029 lote 18 - Shimadzu.txt_162359.spc"
"Wavelength nm."	"Abs."
998.00	0.069
999.00	0.069
1000.00	0.069
1001.00	0.069
1002.00	0.069
1003.00	0.069
1004.00	0.069
1005.00	0.069
1006.00	0.069
1007.00	0.069
1008.00	0.069
1009.00	0.069
1010.00	0.069
1011.00	0.069
1012.00	0.069
1013.00	0.069
1014.00	0.069
1015.00	0.070
1016.00	0.069
1017.00	0.069
1018.00	0.070
1019.00	0.069
1020.00	0.069
1021.00	0.069
1022.00	0.069
1023.00	0.069
1024.00	0.069
1025.00	0.069
1026.00	0.069
1027.00	0.069
1028.00	0.069
1029.00	0.069
1030.00	0.069
1031.00	0.069
1032.00	0.069
1033.00	0.069
1034.00	0.069
1035.00	0.069
1036.00	0.069
1037.00	0.069
1038.00	0.069
1039.00	0.069
1040.00	0.069
1041.00	0.068
1042.00	0.068
1043.00	0.068
1044.00	0.068
1045.00	0.068
1046.00	0.068
1047.00	0.068
1048.00	0.068
1049.00	0.068
1050.00	0.068
1051.00	0.068
1052.00	0.068
1053.00	0.068
1054.00	0.068
1055.00	0.068
1056.00	0.068
1057.00	0.068
1058.00	0.068
1059.00	0.068
1060.00	0.068
1061.00	0.068
1062.00	0.068
1063.00	0.068
1064.00	0.068
1065.00	0.067
1066.00	0.067
1067.00	0.067
1068.00	0.067
1069.00	0.067
1070.00	0.067
1071.00	0.067
1072.00	0.067
1073.00	0.067
1074.00	0.067
1075.00	0.067
1076.00	0.067
1077.00	0.067
1078.00	0.067
1079.00	0.068
1080.00	0.067
1081.00	0.067
1082.00	0.067
1083.00	0.067
1084.00	0.068
1085.00	0.068
1086.00	0.068
1087.00	0.068
1088.00	0.068
1089.00	0.068
1090.00	0.068
1091.00	0.068
1092.00	0.068
1093.00	0.068
1094.00	0.068
1095.00	0.068
1096.00	0.068
1097.00	0.068
1098.00	0.068
1099.00	0.068
1100.00	0.069
