"RawData - File_210319_171149.spc"
"Wavelength nm."	"Abs."
800.00	0.041
801.00	0.041
802.00	0.041
803.00	0.041
804.00	0.041
805.00	0.041
806.00	0.041
807.00	0.041
808.00	0.042
809.00	0.042
810.00	0.042
811.00	0.042
812.00	0.042
813.00	0.042
814.00	0.042
815.00	0.042
816.00	0.042
817.00	0.042
818.00	0.042
819.00	0.042
820.00	0.042
821.00	0.042
822.00	0.042
823.00	0.042
824.00	0.042
825.00	0.042
826.00	0.042
827.00	0.042
828.00	0.042
829.00	0.042
830.00	0.042
831.00	0.042
832.00	0.042
833.00	0.042
834.00	0.042
835.00	0.042
836.00	0.042
837.00	0.042
838.00	0.043
839.00	0.043
840.00	0.043
841.00	0.043
842.00	0.043
843.00	0.043
844.00	0.043
845.00	0.043
846.00	0.043
847.00	0.043
848.00	0.043
849.00	0.043
850.00	0.043
851.00	0.043
852.00	0.043
853.00	0.043
854.00	0.043
855.00	0.043
856.00	0.043
857.00	0.043
858.00	0.043
859.00	0.043
860.00	0.043
861.00	0.043
862.00	0.043
863.00	0.043
864.00	0.043
865.00	0.043
866.00	0.043
867.00	0.043
868.00	0.043
869.00	0.043
870.00	0.043
871.00	0.043
872.00	0.043
873.00	0.043
874.00	0.043
875.00	0.043
876.00	0.044
877.00	0.043
878.00	0.044
879.00	0.044
880.00	0.044
881.00	0.044
882.00	0.044
883.00	0.044
884.00	0.044
885.00	0.044
886.00	0.044
887.00	0.044
888.00	0.044
889.00	0.044
890.00	0.044
891.00	0.044
892.00	0.044
893.00	0.044
894.00	0.044
895.00	0.044
896.00	0.044
897.00	0.044
898.00	0.044
899.00	0.044
900.00	0.044
901.00	0.044
902.00	0.044
903.00	0.044
904.00	0.044
905.00	0.044
906.00	0.044
907.00	0.044
908.00	0.044
909.00	0.044
910.00	0.044
911.00	0.044
912.00	0.044
913.00	0.044
914.00	0.044
915.00	0.044
916.00	0.044
917.00	0.045
918.00	0.045
919.00	0.045
920.00	0.045
921.00	0.044
922.00	0.045
923.00	0.045
924.00	0.045
925.00	0.045
926.00	0.045
927.00	0.045
928.00	0.045
929.00	0.045
930.00	0.045
931.00	0.045
932.00	0.045
933.00	0.045
934.00	0.045
935.00	0.045
936.00	0.045
937.00	0.045
938.00	0.045
939.00	0.045
940.00	0.045
941.00	0.045
942.00	0.045
943.00	0.045
944.00	0.045
945.00	0.045
946.00	0.045
947.00	0.045
948.00	0.045
949.00	0.045
950.00	0.045
951.00	0.045
952.00	0.045
953.00	0.045
954.00	0.045
955.00	0.045
956.00	0.045
957.00	0.045
958.00	0.045
959.00	0.045
960.00	0.045
961.00	0.045
962.00	0.045
963.00	0.045
964.00	0.045
965.00	0.045
966.00	0.045
967.00	0.045
968.00	0.045
969.00	0.045
970.00	0.045
971.00	0.045
972.00	0.045
973.00	0.045
974.00	0.045
975.00	0.045
976.00	0.045
977.00	0.045
978.00	0.045
979.00	0.045
980.00	0.045
981.00	0.045
982.00	0.045
983.00	0.045
984.00	0.045
985.00	0.045
986.00	0.045
987.00	0.045
988.00	0.045
989.00	0.045
990.00	0.045
991.00	0.045
